layer,causeLabel,immediateCauseLabel,contributingFactorLabel,effectLabel,immediateCauseOfLabel,contributingFactorOfLabel,coords,survivors,injured,dead,placePicture,placeLabel,countryLabel,date,item,itemLabel
More than 1000 deaths,,,,,,,Point(39.884694444 21.416527777),,934 injured,2411 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Mina%20Overview.JPG,Mina,Saudi Arabia,2015-09-24T00:00:00Z,http://www.wikidata.org/entity/Q21007721,2015 Mina stampede
More than 1000 deaths,,,,,,,,,,1426 dead,,,,1990-07-02T00:00:00Z,http://www.wikidata.org/entity/Q18409574,1990 Hajj stampede
More than 1000 deaths,,,,,,,Point(37.53111111 55.78722222),,1300 injured,1379 dead,,,,1896-05-30T00:00:00Z,http://www.wikidata.org/entity/Q942894,Khodynka Tragedy
More than 100 deaths,,,,,,,Point(44.3552 33.3749),,,953 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Al-Aaimmah%20bridge%20area.PNG,Al-Aaimmah bridge,Iraq,2005-08-31T00:00:00Z,http://www.wikidata.org/entity/Q2594536,2005 Baghdad bridge stampede
More than 100 deaths,,,,,,,Point(104.939497 11.556011),,755 injured,347 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Phnom%20Penh%20aerial.jpg,Phnom Penh,Cambodia,2010-11-22T00:00:00Z,http://www.wikidata.org/entity/Q1185980,Phnom Penh stampede
More than 100 deaths,,,,,,,Point(-77.0337 -12.0673),,500 injured,328 dead,http://commons.wikimedia.org/wiki/Special:FilePath/PRESIDENTA%20DEL%20CONSJEO%20DE%20MINISTROS%20Y%20MINISTRA%20DE%20DEFENSA%20REALIZARON%20UN%20SOBREVUELO%20POR%20LA%20CAPITAL%20-%2051229945883.jpg,National Stadium of Peru,Peru,1964-05-24T00:00:00Z,http://www.wikidata.org/entity/Q3271716,Estadio Nacional disaster
More than 100 deaths,,,,,,,Point(39.893333333 21.413333333),,364 injured,320 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Mina%20Overview.JPG,Mina,Saudi Arabia,2006-01-12T00:00:00Z,http://www.wikidata.org/entity/Q2922493,2006 Hajj stampede
More than 100 deaths,,,,,,,,,,270 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Mina%20Overview.JPG,Mina,Saudi Arabia,1994-05-23T00:00:00Z,http://www.wikidata.org/entity/Q21028869,1994 Hajj stampede
More than 100 deaths,,,,,,,Point(-1.378333333 54.903611111),,,183 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Wearmouth%20bridge.jpg,Sunderland,United Kingdom,1883-06-16T00:00:00Z,http://www.wikidata.org/entity/Q7926752,Victoria Hall stampede
More than 100 deaths,,,,,,,Point(-0.055169444 51.52735),,60 injured,173 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Bethnal%20Green%20stn%20westbound%20look%20east.JPG,Bethnal Green tube station,United Kingdom,1943-03-03T00:00:00Z,http://www.wikidata.org/entity/Q25493379,Bethnal Green tube disaster
